"DTI_CL_MES","Month","DTI_CL_ESTACIONES_METEO","DMC weather stations","Value","Flag Codes","Flags"
"2010-M08","2010 August","T001017","Bernardo O'Higgins",20.8,,
"2010-M08","2010 August","T001018","Carriel Sur",17.5,,
"2010-M08","2010 August","T001019","Maquehue",17.5,,
"2010-M08","2010 August","T001020","Pichoy",15.7,,
"2010-M08","2010 August","T001021","Cañal Bajo",16,,
"2010-M08","2010 August","T001022","El Tepual",14.2,,
"2010-M08","2010 August","T001023","Teniente Vidal",12.5,,
"2010-M08","2010 August","T001024","Balmaceda",10.6,,
"2010-M08","2010 August","T001025","Pdte. Carlos Ibáñez",10,,
"2010-M08","2010 August","T001026","Eduardo Frei Montalva",1.7,,
"2010-M09","2010 September","T001001","Chacalluta",18.6,,
"2010-M09","2010 September","T001002","Diego Aracena",18.3,,
"2010-M09","2010 September","T001003","Cerro Moreno",20.3,,
"2010-M09","2010 September","T001004","Mataveri",23,,
"2010-M09","2010 September","T001007","La Florida",19.9,,
"2010-M09","2010 September","T001009","Punta Ángeles",20,,
"2010-M09","2010 September","T001010","Jardín Botánico",25.2,,
"2010-M09","2010 September","T001011","Quinta Normal",27.8,,
"2010-M09","2010 September","T001012","Arturo Merino Benítezl",27.1,,
"2010-M09","2010 September","T001014","Juan Fernández",18.1,,
"2010-M09","2010 September","T001015","Graneros",28.1,,
"2010-M09","2010 September","T001016","General Freire",22.4,,
"2010-M09","2010 September","T001017","Bernardo O'Higgins",21.6,,
"2010-M09","2010 September","T001018","Carriel Sur",17.3,,
"2010-M09","2010 September","T001019","Maquehue",17.8,,
"2010-M09","2010 September","T001020","Pichoy",17.6,,
"2010-M09","2010 September","T001021","Cañal Bajo",16.5,,
"2010-M09","2010 September","T001022","El Tepual",15.6,,
"2010-M09","2010 September","T001023","Teniente Vidal",14.7,,
"2010-M09","2010 September","T001024","Balmaceda",14.1,,
"2010-M09","2010 September","T001025","Pdte. Carlos Ibáñez",15.9,,
"2010-M09","2010 September","T001026","Eduardo Frei Montalva",0.7,,
"2010-M10","2010 October","T001001","Chacalluta",20.5,,
"2010-M10","2010 October","T001002","Diego Aracena",20.6,,
"2010-M10","2010 October","T001003","Cerro Moreno",19.3,,
"2010-M10","2010 October","T001004","Mataveri",24.4,,
"2010-M10","2010 October","T001007","La Florida",20.1,,
"2010-M10","2010 October","T001009","Punta Ángeles",23.5,,
"2010-M10","2010 October","T001010","Jardín Botánico",27.4,,
"2010-M10","2010 October","T001011","Quinta Normal",30.8,,
"2010-M10","2010 October","T001012","Arturo Merino Benítezl",30.8,,
"2010-M10","2010 October","T001014","Juan Fernández",20.2,,
"2010-M10","2010 October","T001015","Graneros",28.7,,
"2010-M10","2010 October","T001016","General Freire",28.6,,
"2010-M10","2010 October","T001017","Bernardo O'Higgins",28.2,,
"2010-M10","2010 October","T001018","Carriel Sur",21.3,,
"2010-M10","2010 October","T001019","Maquehue",23.9,,
"2010-M10","2010 October","T001020","Pichoy",24.3,,
